"","idno","cntry","nwspol","netusoft","netustm","ppltrst","pplfair","psppsgva","cptppola","trstprl","trstlgl","trstsci","vote","happy","wkhtot","agepnt","gndr","region"
"39",11177,"BE",15,5,300,6,7,3,2,6,4,8,"Not eligble",7,40,49,"Female","BE21"
"40",11195,"BE",30,5,60,3,3,3,2,5,5,8,"Yes",9,60,80,"Male","BE31"
"41",11222,"BE",15,5,60,2,7,4,1,5,7,10,"No",6,40,43,"Female","BE21"
"42",11225,"BE",60,5,180,4,8,2,2,6,5,7,"Yes",8,16,87,"Female","BE24"
"43",11273,"BE",60,5,30,0,8,2,1,4,3,5,"Yes",2,38,47,"Female","BE34"
"44",11350,"BE",10,4,120,5,6,1,2,0,2,6,"Yes",9,38,86,"Female","BE23"
"45",11431,"BE",30,5,120,4,4,1,1,6,5,8,"Yes",9,36,75,"Male","BE32"
"46",11451,"BE",120,4,60,5,5,2,2,5,6,8,"Yes",8,22,76,"Female","BE23"
"47",11452,"BE",60,4,45,3,5,3,2,5,3,7,"Yes",7,38,90,"Male","BE24"
"48",11458,"BE",15,4,30,3,5,5,2,1,4,7,"Yes",3,35,75,"Female","BE23"
"49",11465,"BE",15,4,180,6,6,2,1,1,1,5,"Not eligble",9,2,69,"Female","BE23"
"50",11545,"BE",30,5,30,7,7,3,2,6,7,8,"Yes",8,40,60,"Female","BE22"
"51",11574,"BE",90,5,5,2,2,1,1,1,0,8,"Yes",8,45,84,"Male","BE21"
"52",11602,"BE",30,5,120,6,6,2,1,4,4,7,"Yes",6,39,68,"Female","BE22"
"53",11688,"BE",0,5,6,5,6,1,1,0,3,8,"Yes",9,48,63,"Female","BE23"
"54",11691,"BE",120,5,300,9,7,3,2,7,8,9,"Yes",7,1,61,"Female","BE25"
"55",11707,"BE",30,5,8,3,7,2,1,2,6,8,"Yes",9,42,61,"Male","BE23"
"56",11715,"BE",60,5,8,7,7,3,2,8,8,9,"Yes",8,40,63,"Female","BE24"
"57",11754,"BE",60,5,300,6,5,3,3,7,7,8,"Not eligble",10,75,37,"Male","BE25"
"58",11805,"BE",60,5,0,6,7,3,2,3,6,8,"Yes",7,42,78,"Male","BE21"
"59",11817,"BE",0,5,300,2,5,1,3,5,3,7,"No",7,40,58,"Male","BE32"
"60",11818,"BE",90,5,30,5,7,3,2,6,6,8,"Yes",8,42,58,"Female","BE22"
"61",11850,"BE",10,5,60,7,6,1,1,5,5,6,"Yes",9,40,79,"Female","BE22"
"62",11864,"BE",150,5,180,5,5,3,3,4,4,7,"Yes",8,44,90,"Male","BE10"
"63",11939,"BE",120,5,300,8,8,3,4,7,7,9,"Yes",7,40,72,"Female","BE32"
"64",11953,"BE",90,5,6,6,7,1,1,7,8,8,"Yes",8,55,65,"Female","BE21"
"65",11993,"BE",10,5,10,2,3,2,3,6,4,9,"No",4,36,46,"Female","BE23"
"66",12019,"BE",0,5,120,8,5,2,1,3,7,9,"Yes",8,16,56,"Female","BE23"
"67",12026,"BE",60,5,90,7,10,2,3,9,9,6,"Not eligble",10,19,64,"Female","BE21"
"68",12068,"BE",90,5,120,7,7,2,2,6,7,8,"Yes",8,39,70,"Male","BE25"
"69",12069,"BE",180,5,120,3,2,1,1,2,5,10,"Yes",3,43,71,"Male","BE34"
"70",12091,"BE",30,5,30,7,8,3,1,7,2,7,"Yes",8,8,65,"Male","BE10"
"71",12125,"BE",30,5,240,6,4,3,3,7,7,10,"Yes",8,38,51,"Male","BE31"
"72",12173,"BE",150,4,45,7,7,3,2,6,8,8,"Yes",9,38,90,"Female","BE23"
"73",12221,"BE",60,5,300,4,5,4,3,7,5,8,"Yes",8,60,76,"Male","BE31"
"74",12246,"BE",60,5,60,5,5,3,2,5,0,5,"No",7,40,75,"Male","BE10"
"75",12279,"BE",5,5,120,6,7,1,2,4,5,5,"No",8,39,56,"Female","BE21"
"76",12291,"BE",90,5,300,7,8,2,2,6,9,7,"Yes",8,0,48,"Male","BE31"
"77",12341,"BE",150,5,6,7,7,4,3,8,4,8,"Yes",9,30,90,"Male","BE22"
"78",12364,"BE",60,5,270,3,4,2,4,2,6,8,"Yes",2,40,61,"Male","BE22"
"79",12375,"BE",0,5,6,4,4,2,1,7,8,7,"Not eligble",8,1,51,"Female","BE23"
"80",12435,"BE",90,5,10,7,7,1,3,3,3,5,"Yes",8,40,62,"Female","BE25"
"81",12441,"BE",120,5,240,7,7,3,3,4,3,8,"Yes",10,36,69,"Female","BE21"
"82",12453,"BE",120,5,8,4,7,1,1,3,4,7,"Yes",7,38,78,"Male","BE23"
"83",12462,"BE",60,5,30,2,5,3,2,7,8,8,"Yes",8,38,90,"Female","BE25"
"84",12473,"BE",60,5,30,8,6,3,2,5,7,8,"Yes",8,40,57,"Female","BE33"
"85",12485,"BE",45,5,240,5,4,2,1,4,5,7,"Yes",7,9,56,"Male","BE33"
"86",12518,"BE",45,5,30,2,7,1,3,5,6,5,"Yes",8,41,64,"Female","BE33"
"87",12536,"BE",40,5,300,8,8,1,2,3,7,8,"No",8,38,60,"Male","BE22"
"88",12542,"BE",30,5,180,1,1,1,1,0,3,5,"Yes",7,28,72,"Male","BE25"
"89",12565,"BE",60,5,180,5,5,1,3,3,1,7,"Yes",8,19,90,"Female","BE25"
"90",12577,"BE",15,5,30,8,8,2,3,3,7,9,"Yes",8,43,59,"Male","BE23"
"91",12676,"BE",30,5,60,5,7,1,5,0,5,8,"Yes",6,38,85,"Male","BE24"
"92",12712,"BE",10,5,10,6,6,2,1,4,7,9,"Yes",8,40,53,"Female","BE24"
"93",12725,"BE",30,5,120,2,3,1,1,7,9,9,"Yes",7,30,85,"Female","BE32"
"94",12757,"BE",60,5,6,2,0,3,2,5,6,8,"Yes",7,20,56,"Male","BE33"
"95",12768,"BE",90,5,6,7,9,1,2,4,7,9,"Yes",10,50,75,"Female","BE21"
"96",12782,"BE",120,5,9,6,4,2,2,6,5,8,"Yes",8,40,64,"Female","BE22"
"97",12819,"BE",20,5,60,6,4,3,3,6,6,6,"Not eligble",10,40,60,"Female","BE10"
"98",12868,"BE",60,5,10,8,8,1,4,4,5,8,"Yes",9,47,72,"Male","BE21"
"99",12883,"BE",75,4,180,5,3,1,2,2,0,4,"Yes",1,38,87,"Female","BE23"
"100",12925,"BE",120,5,30,7,7,4,2,6,7,8,"Yes",8,45,70,"Male","BE31"
"101",12989,"BE",180,5,120,6,4,2,3,4,4,6,"Yes",7,20,90,"Female","BE33"
"102",13020,"BE",30,5,120,5,7,2,1,5,5,6,"Yes",8,28,79,"Female","BE24"
"103",13030,"BE",60,5,60,7,7,2,2,6,5,4,"Yes",8,40,74,"Female","BE35"
"104",13037,"BE",0,5,120,7,6,2,1,2,1,2,"Yes",8,40,70,"Male","BE22"
"105",13047,"BE",10,5,60,5,4,1,1,1,2,1,"Yes",9,28,62,"Female","BE25"
"106",13079,"BE",150,5,10,8,7,3,5,8,9,8,"Yes",9,55,73,"Male","BE33"
"107",13141,"BE",20,5,59,10,10,2,1,0,3,2,"Yes",8,0,60,"Female","BE10"
"108",13156,"BE",210,5,105,5,5,4,1,8,8,9,"Yes",6,30,72,"Male","BE21"
"109",13167,"BE",30,5,8,6,8,3,2,5,7,8,"Yes",8,32,73,"Female","BE25"
"110",13170,"BE",30,5,115,7,9,2,3,6,4,6,"Yes",9,35,79,"Female","BE33"
"111",13185,"BE",5,5,120,5,5,3,1,5,9,6,"Yes",8,38,64,"Male","BE25"
"112",13186,"BE",10,4,180,5,2,1,3,4,10,0,"Not eligble",5,33,65,"Female","BE10"
"113",13187,"BE",60,5,60,7,7,1,3,0,0,0,"No",8,50,82,"Male","BE22"
"114",13197,"BE",40,5,300,2,2,2,2,1,0,5,"Not eligble",8,7,50,"Female","BE21"
"115",13226,"BE",60,5,10,1,5,1,1,1,0,7,"Yes",4,40,59,"Female","BE10"
"116",13232,"BE",0,5,10,4,7,2,1,6,5,7,"Yes",8,40,57,"Male","BE23"
"117",13269,"BE",45,4,60,6,6,2,2,5,6,7,"No",5,55,61,"Male","BE35"
"118",13325,"BE",60,5,10,7,7,3,3,5,6,7,"Yes",9,45,65,"Female","BE10"
"119",13338,"BE",80,5,10,8,7,2,1,6,7,8,"Yes",10,45,61,"Male","BE21"
"120",13340,"BE",120,5,6,9,3,1,3,5,8,8,"Yes",9,40,64,"Male","BE21"
"121",13397,"BE",30,5,210,3,5,3,2,7,9,4,"Yes",6,38,42,"Male","BE23"
"122",13437,"BE",30,5,120,3,7,3,3,7,8,9,"Yes",10,17,65,"Male","BE32"
"123",13466,"BE",90,4,8,8,8,2,3,4,2,7,"Yes",6,43,90,"Female","BE23"
"124",13540,"BE",30,5,8,6,7,2,3,6,9,7,"Yes",8,60,55,"Female","BE23"
"125",13573,"BE",60,5,30,3,5,2,1,4,8,8,"Yes",7,38,81,"Male","BE21"
"126",13629,"BE",10,5,180,7,8,2,3,5,6,8,"Yes",8,38,71,"Male","BE23"
"127",13691,"BE",15,4,60,0,0,2,2,5,5,6,"Yes",3,12,89,"Female","BE22"
"128",13697,"BE",35,5,330,7,6,3,3,9,9,7,"Not eligble",9,46,50,"Male","BE23"
"129",13757,"BE",0,5,25,7,9,1,2,0,0,6,"No",10,33,89,"Male","BE23"
"130",13796,"BE",10,5,6,7,7,3,1,8,6,8,"Yes",7,39,55,"Female","BE22"
"131",13809,"BE",20,5,9,6,6,3,1,5,7,9,"Yes",8,50,65,"Male","BE25"
"132",13824,"BE",120,5,60,7,7,3,3,7,8,7,"Yes",8,55,74,"Male","BE21"
"133",13848,"BE",30,5,300,6,6,3,2,5,7,9,"Yes",8,46,61,"Female","BE25"
"134",13870,"BE",58,5,120,6,7,2,3,6,6,8,"Yes",8,40,64,"Male","BE32"
"135",13914,"BE",60,5,60,1,6,1,2,2,1,8,"Yes",6,48,90,"Male","BE21"
"136",13923,"BE",60,5,300,8,5,4,1,0,8,8,"Not eligble",7,10,58,"Male","BE33"
"137",13951,"BE",30,5,120,8,8,2,4,4,7,7,"Yes",9,42,83,"Female","BE23"
"138",13979,"BE",15,5,6,5,3,3,3,10,8,9,"Yes",7,45,64,"Male","BE31"
"139",14036,"BE",45,5,120,9,9,1,4,3,7,7,"Yes",10,60,90,"Male","BE34"
"140",14075,"BE",0,5,6,1,6,2,1,4,4,5,"Yes",8,70,73,"Female","BE22"
"141",14097,"BE",10,5,120,9,9,3,1,8,8,8,"No",9,32,67,"Female","BE21"
"142",14148,"BE",30,5,10,4,3,3,3,8,3,9,"No",10,38,54,"Female","BE31"
"143",14150,"BE",20,5,210,6,6,2,2,7,8,7,"Yes",7,35,62,"Female","BE33"
"144",14175,"BE",60,5,90,5,8,1,2,5,4,8,"Yes",8,75,86,"Male","BE35"
"145",14191,"BE",150,5,210,8,6,4,5,6,7,10,"Yes",9,38,67,"Male","BE23"
"146",14192,"BE",30,5,150,10,9,3,2,9,9,8,"Yes",9,45,64,"Male","BE21"
"147",14195,"BE",60,5,180,5,7,3,3,6,6,5,"Yes",8,48,80,"Female","BE35"
"148",14200,"BE",10,4,1,3,7,3,2,3,3,7,"Yes",8,40,73,"Male","BE22"
"149",14212,"BE",90,5,8,6,6,2,1,6,6,7,"No",8,8,83,"Female","BE10"
"150",14239,"BE",8,5,300,8,9,4,3,6,8,10,"Not eligble",10,8,48,"Female","BE33"
"151",14304,"BE",30,5,90,7,7,4,4,6,6,9,"Yes",9,38,72,"Female","BE32"
"152",14327,"BE",60,5,10,4,6,4,4,7,7,7,"Yes",9,42,59,"Male","BE22"
"153",14352,"BE",20,5,9,4,5,1,2,4,5,6,"Yes",4,18,59,"Male","BE33"
"154",14396,"BE",15,5,120,7,7,2,1,3,4,5,"Yes",7,40,64,"Female","BE21"
"155",14400,"BE",60,5,8,8,9,3,3,7,7,8,"Yes",8,38,84,"Female","BE21"
"156",14408,"BE",60,5,180,6,5,3,3,5,6,8,"Not eligble",8,12,43,"Female","BE23"
"157",14433,"BE",30,5,240,3,5,2,2,2,4,5,"Yes",4,19,73,"Female","BE23"
"158",14464,"BE",120,5,10,6,0,4,4,6,9,9,"Yes",10,40,65,"Male","BE31"
"159",14491,"BE",45,5,90,2,5,2,2,6,5,6,"Yes",9,38,61,"Female","BE31"
"160",14510,"BE",15,5,60,8,8,3,3,6,7,8,"Yes",9,43,71,"Female","BE21"
"161",14517,"BE",5,5,240,5,4,1,1,2,5,9,"Yes",10,30,71,"Female","BE32"
"162",14544,"BE",90,5,61,8,7,2,1,2,3,6,"Yes",8,40,73,"Male","BE25"
"163",14573,"BE",60,5,7,10,9,3,2,8,9,8,"Not eligble",9,46,69,"Female","BE22"
"164",14625,"BE",30,5,180,7,8,4,1,7,5,8,"Yes",8,39,58,"Female","BE22"
"165",14686,"BE",30,5,180,5,6,2,2,4,6,6,"Yes",8,40,70,"Female","BE33"
"166",14760,"BE",60,5,120,7,2,2,3,5,5,9,"Not eligble",8,50,76,"Male","BE21"
"167",14841,"BE",60,5,10,9,9,4,5,9,9,9,"Yes",10,50,83,"Male","BE23"
"168",14864,"BE",90,5,60,3,5,4,2,1,1,6,"No",8,38,67,"Female","BE23"
"169",14883,"BE",15,5,120,6,6,1,3,0,0,5,"No",7,45,56,"Female","BE21"
"170",14975,"BE",0,5,60,8,9,3,4,7,8,9,"Yes",4,42,62,"Male","BE10"
"171",14996,"BE",50,5,240,7,7,2,3,6,9,9,"Yes",8,38,54,"Female","BE21"
"172",15008,"BE",70,5,240,3,4,1,3,2,0,7,"Yes",8,54,72,"Female","BE22"
"173",15049,"BE",5,5,180,7,5,3,3,6,8,9,"Not eligble",8,7,48,"Female","BE25"
"174",15195,"BE",5,5,180,8,5,1,3,2,2,4,"Yes",9,10,59,"Male","BE21"
"175",15217,"BE",60,4,60,2,5,2,2,7,5,9,"Yes",8,48,81,"Female","BE35"
"176",15261,"BE",15,5,240,8,7,3,3,6,6,7,"Yes",8,38,50,"Female","BE23"
"177",15335,"BE",20,5,30,8,8,1,4,5,8,10,"Yes",9,40,62,"Female","BE10"
"178",15351,"BE",20,5,240,2,2,1,4,0,3,3,"Yes",3,30,53,"Female","BE24"
"179",15384,"BE",90,5,6,9,5,3,3,6,7,8,"Yes",7,48,75,"Male","BE23"
"180",15424,"BE",20,5,60,6,6,3,2,6,5,7,"Yes",6,75,81,"Male","BE32"
"181",15437,"BE",30,5,60,4,5,2,1,3,5,5,"Yes",10,31,76,"Male","BE32"
"182",15443,"BE",15,5,120,6,7,2,2,6,6,6,"Yes",9,30,64,"Female","BE23"
"183",15460,"BE",5,5,180,5,5,2,4,2,5,7,"Yes",8,40,57,"Female","BE21"
"184",15472,"BE",10,5,60,7,5,3,2,7,7,8,"No",8,30,67,"Female","BE33"
"185",15535,"BE",61,4,300,3,5,4,2,5,7,8,"Not eligble",8,38,42,"Female","BE25"
"186",15582,"BE",10,4,60,6,4,2,2,4,5,6,"Yes",4,38,65,"Male","BE33"
"187",15592,"BE",90,5,150,8,8,1,1,3,6,8,"Yes",8,49,67,"Male","BE21"
"188",15594,"BE",60,5,6,6,7,2,1,4,4,6,"Yes",8,43,79,"Male","BE23"
"189",15604,"BE",60,5,60,5,5,3,1,4,4,3,"Yes",8,34,87,"Female","BE21"
"190",15628,"BE",30,5,210,5,5,2,3,7,7,6,"No",10,19,64,"Female","BE23"
"191",15659,"BE",30,5,150,6,8,3,2,7,8,7,"Not eligble",8,40,58,"Male","BE33"
"192",15702,"BE",60,4,300,6,6,2,5,4,4,4,"Yes",8,22,55,"Female","BE10"
"193",15703,"BE",40,5,30,6,6,2,4,7,4,8,"Yes",9,40,74,"Female","BE25"
"194",15706,"BE",60,5,7,8,7,2,1,8,8,9,"Yes",8,45,73,"Female","BE24"
"195",15733,"BE",10,5,330,7,6,3,2,5,2,6,"No",9,5,58,"Male","BE31"
"196",15834,"BE",60,5,60,6,6,3,2,6,6,7,"No",7,38,65,"Female","BE25"
"197",15850,"BE",60,5,240,4,5,2,2,6,6,8,"Yes",7,38,68,"Male","BE23"
"198",15856,"BE",15,5,120,2,2,1,3,0,4,5,"Yes",2,70,55,"Male","BE32"
"199",15888,"BE",15,5,10,7,6,1,3,3,4,8,"Yes",8,40,64,"Female","BE25"
"200",15914,"BE",150,5,240,7,2,3,1,8,7,8,"Yes",7,30,80,"Female","BE23"
"201",15957,"BE",15,5,8,4,4,1,1,3,6,7,"Yes",8,20,75,"Female","BE21"
"202",15996,"BE",0,5,210,5,3,2,3,6,8,9,"Yes",10,40,41,"Male","BE21"
"203",16033,"BE",60,5,300,6,5,3,2,6,7,10,"Yes",7,40,85,"Male","BE25"
"204",16042,"BE",30,5,90,8,8,5,3,8,9,9,"Yes",8,50,84,"Male","BE32"
"205",16100,"BE",60,5,30,5,7,2,1,5,6,5,"Yes",8,42,89,"Female","BE32"
"206",16131,"BE",20,5,120,9,9,2,3,7,8,4,"Yes",9,19,78,"Female","BE31"
"207",16283,"BE",45,5,60,7,7,2,2,5,8,8,"Yes",7,24,76,"Female","BE25"
"208",16321,"BE",90,5,8,8,8,3,2,5,5,9,"Yes",9,45,74,"Male","BE33"
"209",16332,"BE",30,5,330,5,7,3,4,8,8,8,"Not eligble",7,16,49,"Male","BE31"
"210",16333,"BE",120,5,6,5,6,3,2,6,7,8,"Not eligble",5,40,84,"Female","BE10"
"211",16375,"BE",10,5,120,7,8,2,2,5,7,8,"Yes",8,26,79,"Female","BE33"
"212",16380,"BE",30,4,30,7,8,3,3,6,8,7,"Yes",8,38,64,"Female","BE21"
"213",16388,"BE",10,5,8,8,7,3,2,5,5,9,"Yes",6,30,80,"Female","BE24"
"214",16402,"BE",45,4,8,7,6,1,3,1,6,7,"Yes",8,40,67,"Male","BE25"
"215",16425,"BE",0,5,180,2,5,1,1,1,4,5,"No",8,36,58,"Male","BE10"
"216",16436,"BE",45,5,180,6,5,2,1,7,7,9,"Not eligble",7,38,50,"Male","BE23"
"217",16452,"BE",45,5,90,6,7,2,1,5,5,8,"Yes",9,50,82,"Female","BE25"
"218",16466,"BE",30,5,120,5,7,2,3,5,8,8,"No",8,50,61,"Male","BE10"
"219",16470,"BE",60,5,240,5,6,1,3,4,3,8,"Yes",8,37,79,"Female","BE22"
"220",16488,"BE",0,4,60,2,5,1,3,8,6,1,"No",8,38,54,"Female","BE22"
"221",16493,"BE",120,5,8,8,8,1,3,8,8,9,"Yes",10,42,73,"Male","BE35"
"222",16525,"BE",2,4,180,5,8,3,5,7,9,9,"Yes",10,40,48,"Male","BE21"
"223",16537,"BE",60,5,120,2,5,1,1,3,2,8,"Yes",8,45,89,"Male","BE23"
"224",16548,"BE",10,5,60,6,3,2,3,9,9,8,"Yes",6,38,43,"Female","BE32"
"225",16578,"BE",0,5,60,1,1,1,1,0,2,5,"Yes",8,34,74,"Female","BE33"
"226",16653,"BE",5,5,60,5,5,2,2,6,7,8,"Yes",7,60,69,"Female","BE32"
"227",16689,"BE",0,5,10,8,5,1,2,5,5,8,"Not eligble",10,40,50,"Male","BE22"
"228",16691,"BE",30,5,8,5,5,1,1,1,5,6,"Yes",8,38,55,"Male","BE25"
"229",16751,"BE",90,5,6,8,8,4,3,7,8,7,"Yes",8,38,73,"Male","BE25"
"230",16773,"BE",120,5,180,3,4,3,5,6,8,8,"Not eligble",9,20,78,"Female","BE21"
"231",16782,"BE",90,5,120,6,6,2,2,3,5,8,"Yes",7,45,60,"Male","BE21"
"232",16847,"BE",30,5,120,8,8,2,2,4,7,8,"Yes",6,40,72,"Male","BE21"
"233",16899,"BE",90,5,8,5,5,2,3,5,3,8,"Yes",8,43,71,"Female","BE32"
"234",16907,"BE",45,5,10,6,6,3,3,5,8,7,"Yes",8,60,82,"Male","BE24"
"235",16942,"BE",30,5,6,5,5,1,1,5,1,7,"No",9,52,72,"Male","BE23"
"236",16997,"BE",30,5,180,8,8,2,2,6,6,8,"Yes",8,80,81,"Male","BE22"
"237",16999,"BE",5,5,9,7,7,3,3,6,7,9,"Yes",7,41,69,"Female","BE23"
"238",17007,"BE",30,5,180,5,7,3,2,7,6,9,"Yes",7,28,58,"Female","BE23"
"239",17074,"BE",60,5,120,7,9,2,2,6,8,8,"Yes",8,41,80,"Male","BE21"
"240",17090,"BE",60,5,10,8,7,2,5,8,6,9,"Yes",9,38,81,"Male","BE25"
"241",17093,"BE",10,5,90,5,3,2,1,6,7,8,"Yes",7,18,75,"Female","BE31"
"242",17132,"BE",25,5,150,10,5,4,2,10,8,10,"Yes",10,40,65,"Female","BE21"
"243",17239,"BE",30,5,10,7,7,2,5,6,5,8,"Yes",9,70,73,"Male","BE24"
"244",17244,"BE",0,5,180,1,7,2,1,3,3,5,"No",7,60,64,"Male","BE35"
"245",17274,"BE",15,5,30,7,7,1,1,10,9,8,"Not eligble",9,40,59,"Male","BE25"
"246",17388,"BE",60,5,6,8,8,1,5,3,6,8,"Yes",8,60,79,"Male","BE31"
"247",17401,"BE",5,5,120,8,9,3,1,5,8,6,"No",9,36,74,"Female","BE21"
"248",17429,"BE",30,5,180,7,6,4,2,5,7,8,"Not eligble",8,24,52,"Male","BE25"
"249",17486,"BE",150,5,7,9,9,4,4,8,8,8,"Yes",9,60,60,"Male","BE21"
"250",17499,"BE",30,5,300,5,5,5,3,3,6,7,"Not eligble",7,7,42,"Female","BE21"
"251",17533,"BE",30,5,240,8,7,1,2,2,2,5,"Yes",7,30,64,"Female","BE21"
"252",17541,"BE",120,5,240,6,4,3,1,7,6,6,"Yes",9,40,60,"Female","BE24"
"253",17603,"BE",60,5,60,4,5,2,2,1,3,7,"Yes",5,32,79,"Male","BE21"
"254",17614,"BE",20,5,240,3,5,3,3,7,8,9,"No",10,33,49,"Male","BE35"
"255",17642,"BE",1,5,250,4,5,2,1,0,0,0,"Yes",8,40,71,"Female","BE23"
"256",17661,"BE",15,5,6,3,4,1,2,3,6,8,"Yes",6,35,61,"Female","BE23"
"257",17702,"BE",120,5,10,7,7,2,2,6,6,9,"Yes",8,32,68,"Female","BE21"
"258",17729,"BE",50,5,60,1,3,2,3,1,3,2,"Yes",6,70,53,"Male","BE21"
"259",17732,"BE",30,5,8,3,2,1,2,4,5,5,"Yes",8,40,57,"Female","BE21"
"260",17747,"BE",60,5,30,8,8,3,3,7,8,9,"Yes",8,40,89,"Male","BE21"
"261",17750,"BE",35,5,60,7,8,3,3,7,8,9,"Yes",8,45,57,"Female","BE22"
"262",17781,"BE",240,5,6,6,7,3,2,6,7,8,"No",8,50,62,"Male","BE21"
"263",17796,"BE",90,5,10,8,6,2,2,6,7,8,"Yes",8,47,58,"Male","BE10"
"264",17847,"BE",60,5,10,7,6,4,3,8,7,9,"Yes",9,24,50,"Female","BE25"
"265",17913,"BE",90,5,8,7,6,3,2,5,6,8,"Yes",7,45,50,"Male","BE25"
"266",17935,"BE",15,5,120,6,6,3,2,4,8,7,"Yes",9,38,78,"Male","BE24"
"267",17992,"BE",30,5,180,3,1,2,3,3,0,8,"Yes",6,36,55,"Male","BE32"
"268",18018,"BE",30,5,6,5,5,3,3,4,4,8,"Yes",7,6,57,"Male","BE32"
"269",18055,"BE",40,5,60,6,7,3,2,4,7,5,"Yes",9,44,76,"Male","BE21"
"270",18059,"BE",30,5,120,7,3,3,2,7,8,7,"Yes",8,45,74,"Male","BE22"
"271",18063,"BE",5,5,6,3,6,2,3,2,0,0,"Yes",10,60,67,"Male","BE10"
"272",18076,"BE",60,5,90,4,1,2,1,5,5,5,"Yes",8,21,72,"Female","BE23"
"273",18087,"BE",45,5,8,5,6,3,3,7,8,8,"Yes",10,10,78,"Male","BE35"
"274",18121,"BE",60,5,10,7,8,3,4,8,8,9,"Yes",7,29,69,"Female","BE21"
"275",18136,"BE",90,4,150,8,8,3,1,8,8,10,"Yes",9,19,74,"Female","BE31"
"276",18184,"BE",120,5,8,8,8,2,2,7,8,9,"Yes",7,35,82,"Male","BE23"
